client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
2fb6d70b3550e1bf790abd2f1015d053c684a8ecefe7c38d602a29fba0d1223bea2a1cec28c4d0c7412733c2ed66d4abc69cd6cfd94b4ead7a658d5b67232e09	common_voice_it_17543668.mp3	Hai fatto una retata, eh!	1	0				it	
2fb6d70b3550e1bf790abd2f1015d053c684a8ecefe7c38d602a29fba0d1223bea2a1cec28c4d0c7412733c2ed66d4abc69cd6cfd94b4ead7a658d5b67232e09	common_voice_it_17544684.mp3	Non avrà mica fatto qualche sciocchezza?	1	0				it	
92c77e52fb156610c3ecd653f51000f80be7099267d9ada409da30ad357b4ac57c14bab9c5e9ee1df335fa7b749c8a65e3521a2e9c5096d6673b5baebe0c1994	common_voice_it_17545303.mp3	Riesci a pronunciare quella parola? A me sembra impossibile.	1	0	thirties	male		it	
92c77e52fb156610c3ecd653f51000f80be7099267d9ada409da30ad357b4ac57c14bab9c5e9ee1df335fa7b749c8a65e3521a2e9c5096d6673b5baebe0c1994	common_voice_it_17545348.mp3	Tutti tacevano.	1	0	thirties	male		it	
c19e41e3d08d05fd98652a80bda1c0dba1184b16ecebbe021f4b02b956aa47f25a5959cb0df45b2dcc6572e83e4331c33af40c3d900cdc87691235dbafe3fb1b	common_voice_it_17545726.mp3	Guardate tirare quelli più grandi, chiedete ai vostri coach, guardate i filmati delle loro gare.	1	0				it	
c19e41e3d08d05fd98652a80bda1c0dba1184b16ecebbe021f4b02b956aa47f25a5959cb0df45b2dcc6572e83e4331c33af40c3d900cdc87691235dbafe3fb1b	common_voice_it_17545745.mp3	Scuoteva un braccio come per levarsi di torno quell'ombra esosa	1	0				it	
c19e41e3d08d05fd98652a80bda1c0dba1184b16ecebbe021f4b02b956aa47f25a5959cb0df45b2dcc6572e83e4331c33af40c3d900cdc87691235dbafe3fb1b	common_voice_it_17545751.mp3	Una volta che ci si trova in posizione prona bisogna dare un colpo di gambe a delfino	1	0				it	
c19e41e3d08d05fd98652a80bda1c0dba1184b16ecebbe021f4b02b956aa47f25a5959cb0df45b2dcc6572e83e4331c33af40c3d900cdc87691235dbafe3fb1b	common_voice_it_17545811.mp3	Lasciare la paglia vicino al fuoco.	1	0				it	
c19e41e3d08d05fd98652a80bda1c0dba1184b16ecebbe021f4b02b956aa47f25a5959cb0df45b2dcc6572e83e4331c33af40c3d900cdc87691235dbafe3fb1b	common_voice_it_17545845.mp3	In quell’albergo c’ero io e c’era miss Bigland.	1	0				it	
c19e41e3d08d05fd98652a80bda1c0dba1184b16ecebbe021f4b02b956aa47f25a5959cb0df45b2dcc6572e83e4331c33af40c3d900cdc87691235dbafe3fb1b	common_voice_it_17545947.mp3	Anzi il nonno s'era intenerito per il nipotino innocente;	1	0				it	
72a34d4379a9d69b79ac81bbd0e988ea9e06316068628dca4d30657067855049d3503f805435ec8b73bd694c98c352d1ea4fe980a4edf83fd74dddeeb0836530	common_voice_it_17551408.mp3	Hai fatto l'accesso?	1	0	fourties	male		it	
72a34d4379a9d69b79ac81bbd0e988ea9e06316068628dca4d30657067855049d3503f805435ec8b73bd694c98c352d1ea4fe980a4edf83fd74dddeeb0836530	common_voice_it_17551428.mp3	Raggiunse l'autostrada, piegò a destra, inoltrandosi per la campagna.	1	0	fourties	male		it	
72a34d4379a9d69b79ac81bbd0e988ea9e06316068628dca4d30657067855049d3503f805435ec8b73bd694c98c352d1ea4fe980a4edf83fd74dddeeb0836530	common_voice_it_17551456.mp3	Dopo Londra si sentì demoralizzata	1	0	fourties	male		it	
72a34d4379a9d69b79ac81bbd0e988ea9e06316068628dca4d30657067855049d3503f805435ec8b73bd694c98c352d1ea4fe980a4edf83fd74dddeeb0836530	common_voice_it_17551547.mp3	Se così, era lui che arrivava in ritardo, probabilmente!	1	0	fourties	male		it	
72a34d4379a9d69b79ac81bbd0e988ea9e06316068628dca4d30657067855049d3503f805435ec8b73bd694c98c352d1ea4fe980a4edf83fd74dddeeb0836530	common_voice_it_17551601.mp3	Non c'è due senza tre.	1	1	fourties	male		it	
72a34d4379a9d69b79ac81bbd0e988ea9e06316068628dca4d30657067855049d3503f805435ec8b73bd694c98c352d1ea4fe980a4edf83fd74dddeeb0836530	common_voice_it_17551637.mp3	Eccezione va fatta naturalmente per il discorso degli incisi.	1	0	fourties	male		it	
c19e41e3d08d05fd98652a80bda1c0dba1184b16ecebbe021f4b02b956aa47f25a5959cb0df45b2dcc6572e83e4331c33af40c3d900cdc87691235dbafe3fb1b	common_voice_it_17553698.mp3	Fare il verso a qualcuno.	1	0				it	
c19e41e3d08d05fd98652a80bda1c0dba1184b16ecebbe021f4b02b956aa47f25a5959cb0df45b2dcc6572e83e4331c33af40c3d900cdc87691235dbafe3fb1b	common_voice_it_17553715.mp3	Lasciare in asso.	1	0				it	
c19e41e3d08d05fd98652a80bda1c0dba1184b16ecebbe021f4b02b956aa47f25a5959cb0df45b2dcc6572e83e4331c33af40c3d900cdc87691235dbafe3fb1b	common_voice_it_17553796.mp3	È la fase di maggior movimento e fatica.	1	0				it	
c19e41e3d08d05fd98652a80bda1c0dba1184b16ecebbe021f4b02b956aa47f25a5959cb0df45b2dcc6572e83e4331c33af40c3d900cdc87691235dbafe3fb1b	common_voice_it_17553862.mp3	Chiudere a sette chiavi.	1	0				it	
d8cc5af68203bd5c06edc8df3866c3bb92910d93e61a85280fc8499ad2ed0109d02b85f62fe658f4fa38cf7b1797e353d13ba6bd8a65ab39ae050eb27c69bd81	common_voice_it_17563211.mp3	Dopo tutto ciò, gli atleti sono ritenuti responsabili, sono tenuti a rispondere.	1	0	twenties	male		it	
58bddcac722c405f5c262ff6b5dba841ccad126b2f7e5c996e65fc9cc02a76138fbf9f25f248993ac2d37c933b6530d79e20de3e38868be0f1a8099201b0bdd6	common_voice_it_17630581.mp3	Ho smesso di fumare, ma sono passato a farmi di sigaretta elettronica.	1	0	twenties	male		it	
58bddcac722c405f5c262ff6b5dba841ccad126b2f7e5c996e65fc9cc02a76138fbf9f25f248993ac2d37c933b6530d79e20de3e38868be0f1a8099201b0bdd6	common_voice_it_17688475.mp3	Fatta di microrganismi vegetali e animali	1	0	twenties	male		it	
850997771b1854998a86137c78b77a8278ed048796c2553c8a3a90b4e9d61b4b4e057b22e1545226c54586c1ef167aadcd7deccee091ed148629cbd8e41f80f3	common_voice_it_17757206.mp3	Con l'avvento della cristianità e degli ordini religiosi, iniziarono a tramandare storia e principi all'interno dei conventi	1	0				it	
